category_id_1,category_id_2,is_complementary,relation_type,scenario
25185,25380,1,material,floor
25185,25252,1,tool,floor
25185,30808,1,tool,floor
25185,29165,1,tool,floor
25185,23708,1,tool,floor
25185,30227,1,material,floor
25185,25186,1,material,floor
25185,25191,1,material,floor
25380,25252,1,tool,floor
25380,29165,1,tool,floor
25380,30227,1,material,floor
30808,25252,1,tool,floor
30808,29165,1,tool,floor
30808,25185,1,material,floor
29165,25252,1,tool,floor
29165,23708,1,tool,floor
23708,25252,1,tool,floor
23708,25185,1,material,floor
25186,25185,1,material,floor
25186,25380,1,material,floor
25191,25185,1,material,floor
25229,25201,1,material,partitions
25229,25380,1,material,partitions
25229,25179,1,material,partitions
25229,30462,1,material,partitions
25229,25252,1,tool,partitions
25229,29165,1,tool,partitions
25229,30226,1,tool,partitions
25165,25201,1,material,partitions
25165,25380,1,material,partitions
25165,25179,1,material,partitions
25165,30462,1,material,partitions
25165,25252,1,tool,partitions
25165,29165,1,tool,partitions
25165,30226,1,tool,partitions
25201,25252,1,tool,partitions
25201,29165,1,tool,partitions
25201,25380,1,material,partitions
25201,30226,1,tool,partitions
25179,30226,1,tool,partitions
25179,25252,1,tool,partitions
25179,29165,1,tool,partitions
25179,25380,1,material,partitions
30462,30226,1,tool,partitions
30462,25252,1,tool,partitions
30462,29165,1,tool,partitions
30462,25380,1,material,partitions
25178,25380,1,material,walls
25178,25179,1,material,walls
25178,30462,1,material,walls
25178,25252,1,tool,walls
25178,23705,1,tool,walls
25178,30226,1,tool,walls
25178,29165,1,tool,walls
25178,30229,1,material,walls
25380,30226,1,tool,walls
25380,23705,1,tool,walls
25380,29165,1,tool,walls
25380,25252,1,tool,walls
25179,25380,1,material,walls
25179,30226,1,tool,walls
25179,30229,1,material,walls
25179,23705,1,tool,walls
25179,25252,1,tool,walls
25179,29165,1,tool,walls
30462,25380,1,material,walls
30462,30226,1,tool,walls
30462,23705,1,tool,walls
30462,25252,1,tool,walls
30462,29165,1,tool,walls
30462,30229,1,material,walls
23705,25252,1,tool,walls
23705,29165,1,tool,walls
23705,25178,1,material,walls
30226,25252,1,tool,walls
30226,29165,1,tool,walls
30226,25178,1,material,walls
30229,25178,1,material,walls
30229,25380,1,material,walls
30229,30226,1,tool,walls
27647,25357,1,material,tiling
27647,25358,1,material,tiling
27647,25380,1,material,tiling
27647,28500,1,tool,tiling
27647,34844,1,tool,tiling
27647,25342,1,finish,tiling
27647,25197,1,material,tiling
27647,25252,1,tool,tiling
27647,29165,1,tool,tiling
27647,30226,1,tool,tiling
25340,25357,1,material,tiling
25340,25358,1,material,tiling
25340,25380,1,material,tiling
25340,28500,1,tool,tiling
25340,34844,1,tool,tiling
25340,25342,1,finish,tiling
25340,25197,1,material,tiling
25340,25252,1,tool,tiling
25340,29165,1,tool,tiling
25340,30226,1,tool,tiling
25357,25252,1,tool,tiling
25357,29165,1,tool,tiling
25357,30226,1,tool,tiling
25357,25380,1,material,tiling
25357,27647,1,material,tiling
25357,25340,1,material,tiling
25358,30226,1,tool,tiling
25358,25252,1,tool,tiling
25358,25380,1,material,tiling
25358,27647,1,material,tiling
25358,25340,1,material,tiling
28500,34844,1,tool,tiling
28500,25252,1,tool,tiling
28500,27647,1,material,tiling
28500,25340,1,material,tiling
34844,25252,1,tool,tiling
34844,27647,1,material,tiling
34844,25340,1,material,tiling
25342,27647,1,material,tiling
25342,25340,1,material,tiling
25342,25197,1,material,tiling
25197,27647,1,material,tiling
25197,25340,1,material,tiling
25197,25380,1,material,tiling
25026,25007,1,material,electrical
25026,24994,1,finish,electrical
25026,24988,1,finish,electrical
25026,24997,1,finish,electrical
25026,25047,1,material,electrical
25026,28723,1,material,electrical
25026,30194,1,fastener,electrical
25007,28723,1,material,electrical
25007,30194,1,fastener,electrical
25007,25026,1,material,electrical
25007,24994,1,finish,electrical
25007,24988,1,finish,electrical
24994,24997,1,finish,electrical
24994,25026,1,material,electrical
24994,25007,1,material,electrical
24994,28723,1,material,electrical
24988,24997,1,finish,electrical
